Neighborhood Council,Amount
ARLETA NC,941.16
ARROYO SECO NC,269.0
ARTS DISTRICT LITTLE TOKYO NC,10136.39
ATWATER VILLAGE NC,5052.1
BEL AIR-BEVERLY CREST NC,974.62
BOYLE HEIGHTS NC,2439.66
CANOGA PARK NC,896.38
CENTRAL ALAMEDA NC,668.87
CENTRAL HOLLYWOOD NC,168.76
CENTRAL SAN PEDRO NC,1695.44
CHATSWORTH NC,321.35
COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU),192.2
DEL REY NC,1924.87
EAGLE ROCK NC,1206.29
EAST HOLLYWOOD NC,960.46
ECHO PARK NC,702.12
ELYSIAN VALLEY RIVERSIDE NC,1393.97
EMPOWERMENT CONGRESS CENTRAL AREA NC,375.1
EMPOWERMENT CONGRESS NORTH AREA NC,5026.45
EMPOWERMENT CONGRESS SOUTHEAST AREA NDC,540.76
EMPOWERMENT CONGRESS SOUTHWEST AREA NDC,509.1
EMPOWERMENT CONGRESS WEST AREA NDC,2286.34
ENCINO NC,510.75
FOOTHILL TRAILS DISTRICT NC,142.37
GLASSELL PARK NC,720.0
GRANADA HILLS NORTH NC,290.0
GRANADA HILLS SOUTH NC,2490.48
GREATER CYPRESS PARK NC,1468.28
GREATER TOLUCA LAKE NC,1266.37
GREATER VALLEY GLEN,645.38
GREATER WILSHIRE NC,247.0
HARBOR CITY NC,6936.75
HARBOR GATEWAY NORTH NC,1118.95
HARBOR GATEWAY SOUTH NC,1648.92
HERMON NC,209.04
HISTORIC CULTURAL NORTH NC,282.78000000000003
HISTORIC HIGHLAND PARK NC,921.24
HOLLYWOOD HILLS WEST NC,780.0
HOLLYWOOD STUDIO DISTRICT NC,270.0
HOLLYWOOD UNITED NC,325.56
LAKE BALBOA NC,933.47
LINCOLN HEIGHTS NC,1858.21
LOS FELIZ NC,2704.4
MACARTHUR PARK NC,658.53
MAR VISTA NC,5610.33
MID CITY NC,267.08
MID CITY WEST CC,2723.85
MISSION HILLS NC,3139.09
NC VALLEY VILLAGE,2122.48
NOHO NC,3601.9
NOHO WEST NC,657.41
NORTH HILLS EAST NC,805.2
NORTH HOLLYWOOD NORTH EAST NC,722.54
NORTH WESTWOOD NC,3930.2200000000003
NORTHRIDGE EAST NC,303.6
NORTHRIDGE SOUTH NC,278.0
NORTHRIDGE WEST NC,1231.1399999999999
NORTHWEST SAN PEDRO NC,2582.2200000000003
OLYMPIC PARK NC,5730.41
P.I.C.O. NC,372.99
PACOIMA NC,1787.6
PALMS NC,1287.3
PANORAMA CITY NC,423.61
PARK MESA HEIGHTS NC,491.75
PICO UNION NC,984.9300000000001
PORTER RANCH NC,2387.23
RAMPART VILLAGE NC,4078.61
RESEDA NC,990.57
SHERMAN OAKS NC,2297.5699999999997
SILVER LAKE NC,604.22
SOUTH CENTRAL NC,9814.21
SOUTH ROBERTSON NC,2562.33
SUN VALLEY AREA NC,305.18
SUNLAND-TUJUNGA NC,4269.6
SYLMAR NC,4400.07
TARZANA NC,591.1800000000001
UNITED NEIGHBORHOODS NC,1162.5
VAN NUYS NC,1164.84
VENICE NC,1320.27
VOICES NC,2036.2
WATTS NC,765.73
WEST ADAMS NC,576.76
WEST HILLS NC,2242.25
WEST LOS ANGELES SAWTELLE NC,4949.98
WESTCHESTER/PLAYA NC,3820.23
WESTLAKE NORTH NC,5246.65
WESTLAKE SOUTH NC,2500.0
WESTSIDE NC,42.76
WESTWOOD NC,134.18
WILMINGTON NC,4141.61
WILSHIRE CENTER - KOREATOWN NC,4500.0
WINNETKA NC,459.0
WOODLAND HILLS-WARNER CENTER NC,441.96
ZAPATA-KING NC,7699.31
